sub	session	condition	accuracy	RT
sub-5075	7	S_U	0.75	1.6853194444444446
sub-5077	5	S_C	0.9166666666666666	2.37975
sub-5077	5	S_H	0.5833333333333333	1.3707500000000001
sub-5077	5	S_L	0.8333333333333333	1.2494242424242423
sub-5077	5	S_U	0.7083333333333334	1.20965
sub-5077	7	S_C	0.875	1.9411666666666667
sub-5077	7	S_H	0.9166666666666667	1.2079583333333332
sub-5077	7	S_L	0.875	1.2318333333333333
sub-5077	7	S_U	0.75	1.5672916666666667
sub-5091	5	S_C	0.9166666666666666	1.5686666666666667
sub-5091	5	S_H	0.8333333333333334	1.46275
sub-5091	5	S_L	0.75	1.6258136363636364
sub-5091	5	S_U	0.9583333333333333	1.5404128787878788
sub-5091	7	S_C	1.0	1.4593333333333334
sub-5091	7	S_H	1.0	1.405125
sub-5091	7	S_L	0.7916666666666666	1.4150416666666668
sub-5091	7	S_U	1.0	1.2640416666666667
sub-5099	5	S_C	0.9166666666666667	1.8192083333333335
sub-5099	5	S_H	0.9583333333333333	1.4195416666666667
sub-5099	5	S_L	0.75	1.5302166666666666
sub-5099	5	S_U	0.5833333333333333	1.601449494949495
sub-5099	7	S_C	0.9583333333333333	1.183659090909091
sub-5099	7	S_H	1.0	1.2179583333333333
sub-5099	7	S_L	0.8333333333333333	1.4718727272727272
sub-5099	7	S_U	0.7916666666666667	1.6841681818181817
sub-5109	5	S_C	1.0	1.487875
sub-5109	5	S_H	0.875	1.2557045454545455
sub-5109	5	S_L	0.7916666666666666	1.319109090909091
sub-5109	5	S_U	0.7083333333333334	1.3126250000000002
sub-5109	7	S_C	1.0	2.077875
sub-5109	7	S_H	0.9583333333333333	1.2498901515151517
sub-5109	7	S_L	0.9166666666666666	1.4311249999999998
sub-5109	7	S_U	0.875	1.5894545454545455
sub-5140	5	S_C	0.7083333333333333	1.9321833333333336
sub-5140	5	S_H	0.7916666666666667	1.5196863636363638
sub-5140	5	S_L	0.7083333333333334	1.74085
sub-5140	5	S_U	0.6666666666666666	1.6346875
sub-5140	7	S_C	1.0	1.1690416666666668
sub-5140	7	S_H	0.9583333333333333	1.28925
sub-5140	7	S_L	0.9166666666666667	1.2273030303030303
sub-5140	7	S_U	0.6666666666666667	1.4200833333333334
sub-5143	5	S_C	0.9166666666666666	1.3053333333333335
sub-5143	5	S_H	0.8333333333333333	1.4164583333333334
sub-5143	5	S_L	0.8333333333333334	1.3612083333333334
sub-5143	5	S_U	0.7916666666666667	1.3551363636363636
sub-5143	7	S_C	0.7916666666666667	1.1601325757575758
sub-5143	7	S_H	0.75	1.4565583333333332
