sub	session	condition	accuracy	RT
sub-5007	7	S_C	0.9166666666666667	1.2318901515151515
sub-5007	7	S_H	0.7083333333333334	1.3050833333333332
sub-5007	7	S_L	0.9166666666666666	1.159
sub-5007	7	S_U	0.6666666666666666	1.234625
sub-5007	9	S_C	0.875	2.094022727272727
sub-5007	9	S_H	0.9166666666666666	1.455
sub-5007	9	S_L	0.875	1.662
sub-5007	9	S_U	0.5833333333333333	1.5657
sub-5008	7	S_C	0.9583333333333333	1.9695227272727274
sub-5008	7	S_H	0.875	1.2515606060606062
sub-5008	7	S_L	0.8333333333333334	1.601007575757576
sub-5008	7	S_U	0.875	1.5101363636363636
sub-5008	9	S_C	1.0	1.5393750000000002
sub-5008	9	S_H	1.0	1.1439583333333334
sub-5008	9	S_L	0.9166666666666666	1.3569583333333335
sub-5008	9	S_U	0.8333333333333333	1.3293333333333333
sub-5009	7	S_C	0.9583333333333333	1.7246666666666668
sub-5009	7	S_H	0.875	1.5213166666666667
sub-5009	7	S_L	0.7916666666666667	1.640861111111111
sub-5009	7	S_U	0.75	1.6371565656565656
sub-5009	9	S_C	1.0	1.3189583333333332
sub-5009	9	S_H	1.0	1.0467083333333334
sub-5009	9	S_L	0.9583333333333333	1.1549166666666666
sub-5009	9	S_U	1.0	1.2412916666666667
sub-5010	7	S_C	0.9583333333333333	1.0875416666666666
sub-5010	7	S_H	0.8333333333333334	1.2397272727272728
sub-5010	7	S_L	0.7083333333333333	1.3273030303030304
sub-5010	7	S_U	0.625	1.2392992424242424
sub-5010	9	S_C	0.875	1.3297222222222222
sub-5010	9	S_H	0.625	1.3774166666666665
sub-5010	9	S_L	0.7083333333333334	1.4426625
sub-5010	9	S_U	0.625	1.5255208333333332
sub-5011	7	S_C	1.0	0.8083333333333333
sub-5011	7	S_H	1.0	1.051375
sub-5011	7	S_L	1.0	1.074125
sub-5011	7	S_U	0.7083333333333333	1.1694166666666668
sub-5011	9	S_C	1.0	1.630875
sub-5011	9	S_H	0.9166666666666667	0.9732348484848485
sub-5011	9	S_L	0.8333333333333333	1.0219166666666668
sub-5011	9	S_U	0.875	1.2665416666666667
sub-5015	7	S_C	0.9166666666666667	1.5026704545454546
sub-5015	7	S_H	0.9166666666666667	1.17775
sub-5015	7	S_L	0.8333333333333333	1.2835
sub-5015	7	S_U	0.7916666666666667	1.3736818181818182
sub-5015	9	S_C	1.0	1.1325833333333333
sub-5015	9	S_H	0.875	1.2429583333333334
sub-5015	9	S_L	0.9166666666666667	1.3412916666666668
sub-5015	9	S_U	0.9166666666666667	1.3945530303030302
sub-5018	7	S_C	1.0	1.6011250000000001
sub-5018	7	S_H	0.875	1.0133333333333334
sub-5018	7	S_L	0.875	1.2568333333333332
sub-5018	7	S_U	0.6666666666666667	1.258
sub-5018	9	S_C	1.0	1.9977083333333332
sub-5018	9	S_H	0.9166666666666667	0.9965
sub-5018	9	S_L	0.9166666666666667	0.9700833333333333
sub-5018	9	S_U	0.75	0.9822916666666666
sub-5022	7	S_C	0.9583333333333333	1.5664848484848486
sub-5022	7	S_H	0.875	1.3473636363636363
sub-5022	7	S_L	0.7083333333333334	1.6611893939393942
sub-5022	7	S_U	0.875	1.5811166666666665
